log_line,category
2026-03-12T21:05:16.692Z WARN  [worker-pool] Error rate threshold exceeded: 15.3% errors in last 60s (threshold=5%) endpoint=/api/v1/inventory,error_rate
2026-03-14T04:11:19.058Z ERROR [cache-manager] Circuit breaker OPEN for /api/v1/orders failures=23/25 window=30s,error_rate
"2026-03-12T02:12:38.416Z ERROR [notification-service] ConfigMap notification-service-config not found in namespace production, using defaults",config_error
2026-03-10T14:33:08.673Z ERROR [worker-pool] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
2026-03-11T16:22:32.051Z ERROR [search-service] Circuit breaker OPEN for /api/v1/auth/refresh failures=23/25 window=30s,error_rate
"2026-03-13T10:39:58.964Z ERROR [payment-service] Container runtime error: runc create failed: unable to start container process: exec: ""/app/start.sh"": permission denied",deployment_issue
2026-03-16T04:23:50.450Z ERROR [worker-pool] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
2026-03-12T16:54:13.371Z ERROR [payment-service] S3 GetObject failed: bucket=prod-assets key=config/payment-service.yaml error=NoSuchBucket request_id=5856abee9b53,dependency_failure
"2026-03-14T06:30:19.508Z ERROR [cache-manager] Response validation failed: expected 200, got 400 body=""{\""error\"":\""service degraded\""}"" request_id=fbdacb9c7c24",error_rate
2026-03-12T05:40:52.577Z INFO  [billing-service] Message consumed topic=orders partition=6 offset=588860 lag=0,normal
2026-03-16T04:47:34.933Z ERROR [cdn-proxy] Secret mount failed: /var/run/secrets/cdn-proxy/api-key: no such file or directory,config_error
2026-03-11T13:13:09.463Z ERROR [notification-service] CrashLoopBackOff pod=api-gateway-7f8b6c-xk9mz namespace=monitoring restart_count=26 back_off=5m,deployment_issue
2026-03-15T17:17:02.001Z WARN  [cdn-proxy] Memory usage critical: 94.7% used (heap=1847MB/1952MB) GC overhead=38% host=k8s-worker-2b,resource_exhaustion
"2026-03-17T03:31:18.469Z ERROR [inventory-service] gRPC connection to aws-sqs failed: code=UNAVAILABLE desc=""dns resolution failed for aws-sqs.svc.cluster.local""",dependency_failure
"2026-03-15T03:45:31.014Z ERROR [billing-service] Invalid configuration: max_connections must be > 0, got -1 source=/etc/billing-service/config.yaml",config_error
2026-03-13T08:34:59.950Z ERROR [search-service] Secret mount failed: /var/run/secrets/search-service/api-key: no such file or directory,config_error
2026-03-14T18:33:22.462Z WARN  [payment-service] Thread pool saturated: active=129/200 queue=109 rejected=15,resource_exhaustion
2026-03-14T12:33:24.797Z ERROR [inventory-service] Connection pool exhausted: active=97/100 waiting=36 timeout=5000ms db=redis-cache-02,resource_exhaustion
2026-03-13T12:02:35.087Z INFO  [notification-service] Cache hit ratio=0.91 keys=4538 host=k8s-worker-1a,normal
2026-03-14T05:25:07.160Z ERROR [auth-service] 500 errors spiking: count=398 window=5m baseline=2,error_rate
"2026-03-11T21:55:48.916Z ERROR [worker-pool] gRPC call failed code=UNAVAILABLE desc=""transport is closing"" method=/worker-pool.Service/Process",error_rate
2026-03-16T15:43:06.870Z ERROR [api-gateway] Schema migration version mismatch: expected=42 got=39 database=postgres-replica-1,config_error
2026-03-13T21:17:53.614Z WARN  [notification-service] Thread pool saturated: active=101/200 queue=812 rejected=33,resource_exhaustion
2026-03-15T13:26:28.186Z FATAL [inventory-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=475,error_rate
"2026-03-15T18:49:30.637Z ERROR [notification-service] MongoDB replica set election in progress: redis-cache-01 error=""not primary"" retrying in 8s",dependency_failure
2026-03-12T12:44:50.563Z INFO  [analytics-service] Metrics exported datapoints=301 target=prometheus,normal
2026-03-16T14:49:04.811Z INFO  [order-service] PUT /api/v1/payments completed status=301 latency=244ms request_id=ab4581df0372,normal
2026-03-13T15:33:41.285Z DEBUG [auth-service] Connection pool stats: active=5 idle=15 total=20 host=staging-node-01,normal
2026-03-13T14:45:40.573Z WARN  [auth-service] Thread pool saturated: active=138/200 queue=471 rejected=44,resource_exhaustion
"2026-03-11T11:24:37.248Z ERROR [auth-service] PUT /api/v1/auth/refresh failed status=502 error=""Internal Server Error"" request_id=68d47e342986",error_rate
"2026-03-10T07:17:19.298Z ERROR [search-service] Helm release failed: upgrade ""search-service"" failed: timed out waiting for the condition namespace=kube-system",deployment_issue
2026-03-12T14:52:21.007Z ERROR [event-bus] S3 GetObject failed: bucket=prod-assets key=config/event-bus.yaml error=NoSuchBucket request_id=6c323385f9f7,dependency_failure
2026-03-17T03:53:30.622Z ERROR [worker-pool] Helm values override conflict: both 'replicas' and 'autoscaling.enabled' are set,config_error
2026-03-10T06:22:46.067Z INFO  [notification-service] Cache hit ratio=0.86 keys=3385 host=prod-node-03,normal
2026-03-16T15:21:09.735Z ERROR [billing-service] inode exhaustion: used=99.8% filesystem=/dev/sda1 host=prod-node-02,resource_exhaustion
2026-03-12T23:58:34.250Z DEBUG [cache-manager] TLS handshake completed peer=prod-node-03:443 protocol=TLSv1.3 cipher=TLS_AES_256_GCM_SHA384,normal
"2026-03-15T00:04:15.379Z ERROR [event-bus] gRPC connection to datadog-agent failed: code=UNAVAILABLE desc=""dns resolution failed for datadog-agent.svc.cluster.local""",dependency_failure
"2026-03-10T12:27:38.032Z WARN  [search-service] TLS certificate path /etc/ssl/search-service/tls.crt does not exist, disabling TLS",config_error
2026-03-14T01:18:15.658Z ERROR [cache-manager] Circuit breaker OPEN for /api/v1/users failures=23/25 window=30s,error_rate
2026-03-15T01:38:29.522Z FATAL [cdn-proxy] Cannot fork new process: errno=12 (Cannot allocate memory) host=prod-node-02 pid=62727,resource_exhaustion
"2026-03-14T23:41:37.703Z ERROR [search-service] Init container failed: exit code 1 container=db-migration pod=auth-service-5d4e3f-qr7ws reason=""migration failed""",deployment_issue
2026-03-10T07:06:15.335Z ERROR [billing-service] OOMKilled container=billing-service pod=order-service-3c2d1e-jk5gh namespace=monitoring memory_limit=512Mi usage=511Mi,resource_exhaustion
2026-03-15T00:32:38.064Z WARN  [order-service] Rolling update paused: maxUnavailable reached deployment/order-service unavailable=3,deployment_issue
2026-03-16T23:38:48.943Z ERROR [search-service] Unhandled exception in request handler: NullPointerException at com.search-service.handler.process(Handler.java:142) request_id=cbc80f8f256e,error_rate
2026-03-12T10:00:02.363Z INFO  [user-service] Session created user_id=6f395aae1ad4 ip=10.62.207.237 ttl=3600s,normal
"2026-03-14T18:47:54.589Z WARN  [api-gateway] Consul health check failing for cloudflare-dns: status=critical output=""TCP connection timeout""",dependency_failure
2026-03-11T18:45:16.949Z ERROR [search-service] Too many open files: ulimit=3383 current=3951 host=k8s-worker-3c,resource_exhaustion
"2026-03-12T16:25:54.300Z WARN  [event-bus] TLS certificate path /etc/ssl/event-bus/tls.crt does not exist, disabling TLS",config_error
2026-03-13T14:39:22.295Z INFO  [billing-service] Metrics exported datapoints=70 target=prometheus,normal
"2026-03-16T08:42:35.086Z WARN  [user-service] Retry attempt 3/5 for PATCH /healthz last_error=""connection reset by peer""",error_rate
2026-03-11T15:21:12.907Z INFO  [billing-service] Cache hit ratio=0.98 keys=3814 host=prod-node-03,normal
"2026-03-16T23:08:25.286Z WARN  [order-service] TLS certificate path /etc/ssl/order-service/tls.crt does not exist, disabling TLS",config_error
2026-03-09T22:20:30.959Z FATAL [cache-manager] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=132,error_rate
2026-03-13T23:27:43.015Z ERROR [inventory-service] 500 errors spiking: count=492 window=5m baseline=2,error_rate
"2026-03-13T14:17:20.241Z ERROR [search-service] Traceback (most recent call last):\n  File ""/app/search-service/views.py"", line 145, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
2026-03-15T09:30:14.706Z WARN  [search-service] File descriptor leak detected: open_fds=1333 baseline=258 host=prod-node-02,resource_exhaustion
2026-03-14T07:26:38.874Z DEBUG [cache-manager] DNS resolution host=k8s-worker-1a resolved_in=13ms ttl=231s,normal
2026-03-16T00:48:09.155Z FATAL [cdn-proxy] Cannot fork new process: errno=12 (Cannot allocate memory) host=k8s-worker-3c pid=17467,resource_exhaustion
2026-03-14T08:20:03.088Z ERROR [inventory-service] inode exhaustion: used=99.8% filesystem=/dev/sda1 host=prod-node-03,resource_exhaustion
2026-03-13T03:07:28.721Z ERROR [billing-service] DNS resolution failed for sendgrid-email.internal: NXDOMAIN query_time=3988ms,dependency_failure
2026-03-15T13:19:02.407Z DEBUG [scheduler] TLS handshake completed peer=prod-node-01:443 protocol=TLSv1.3 cipher=TLS_AES_256_GCM_SHA384,normal
"2026-03-15T15:38:44.974Z ERROR [inventory-service] Container runtime error: runc create failed: unable to start container process: exec: ""/app/start.sh"": permission denied",deployment_issue
2026-03-13T14:14:01.296Z ERROR [analytics-service] Too many open files: ulimit=2704 current=2869 host=staging-node-01,resource_exhaustion
2026-03-17T11:31:09.199Z DEBUG [billing-service] Connection pool stats: active=5 idle=15 total=20 host=k8s-worker-2b,normal
2026-03-09T20:06:03.796Z INFO  [auth-service] Scheduled job cron.cleanup completed in 22ms removed=15 records,normal
"2026-03-12T15:29:37.362Z ERROR [inventory-service] Vault sealed: unable to retrieve secret secret/inventory-service/db-creds error=""Vault is sealed""",dependency_failure
2026-03-16T22:17:17.161Z ERROR [api-gateway] Connection pool exhausted: active=97/100 waiting=12 timeout=5000ms db=redis-cache-02,resource_exhaustion
2026-03-13T19:48:38.576Z ERROR [cdn-proxy] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
2026-03-17T13:21:26.425Z ERROR [billing-service] HPA unable to scale: unable to get metrics for resource cpu: no metrics returned from resource metrics API,deployment_issue
2026-03-11T12:26:12.733Z DEBUG [user-service] TLS handshake completed peer=k8s-worker-1a:443 protocol=TLSv1.3 cipher=TLS_AES_256_GCM_SHA384,normal
2026-03-11T04:47:17.820Z ERROR [notification-service] Unhandled exception in request handler: NullPointerException at com.notification-service.handler.process(Handler.java:142) request_id=243da3840f3f,error_rate
2026-03-13T08:47:16.518Z ERROR [worker-pool] CrashLoopBackOff pod=payment-service-9a8b7c-lm2np namespace=staging restart_count=36 back_off=5m,deployment_issue
2026-03-14T23:29:18.853Z INFO  [auth-service] Message consumed topic=orders partition=9 offset=933907 lag=0,normal
"2026-03-17T02:34:55.149Z ERROR [event-bus] Traceback (most recent call last):\n  File ""/app/event-bus/views.py"", line 280, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
2026-03-16T08:37:56.537Z DEBUG [notification-service] DNS resolution host=k8s-worker-2b resolved_in=14ms ttl=282s,normal
2026-03-12T13:16:07.837Z INFO  [event-bus] Scheduled job cron.cleanup completed in 179ms removed=3 records,normal
"2026-03-10T12:47:44.881Z ERROR [cache-manager] Database connection lost: postgres-replica-1 error=""server closed the connection unexpectedly"" retry_in=5s",dependency_failure
"2026-03-13T00:18:43.655Z ERROR [search-service] Container runtime error: runc create failed: unable to start container process: exec: ""/app/start.sh"": permission denied",deployment_issue
2026-03-15T02:40:48.952Z INFO  [worker-pool] Metrics exported datapoints=481 target=prometheus,normal
2026-03-16T23:07:53.947Z WARN  [inventory-service] Swap usage high: 78% used (4GB/7GB) host=staging-node-01,resource_exhaustion
"2026-03-14T21:48:01.754Z ERROR [auth-service] Invalid log level 'TRACE' in config, falling back to INFO",config_error
2026-03-14T01:19:51.847Z INFO  [payment-service] DELETE /api/v1/auth/login completed status=201 latency=141ms request_id=f06e70bb490b,normal
"2026-03-14T17:03:57.820Z ERROR [scheduler] Traceback (most recent call last):\n  File ""/app/scheduler/views.py"", line 119, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
2026-03-14T02:41:13.041Z ERROR [auth-service] DNS resolution failed for sendgrid-email.internal: NXDOMAIN query_time=4961ms,dependency_failure
2026-03-16T12:45:33.317Z ERROR [billing-service] Circuit breaker OPEN for /api/v1/orders failures=23/25 window=30s,error_rate
2026-03-12T22:57:54.802Z INFO  [scheduler] Graceful shutdown initiated pid=61192 signal=SIGTERM,normal
2026-03-13T05:51:12.462Z INFO  [analytics-service] Metrics exported datapoints=378 target=prometheus,normal
2026-03-11T22:43:05.375Z DEBUG [api-gateway] Connection pool stats: active=5 idle=15 total=20 host=staging-node-01,normal
"2026-03-12T22:09:25.554Z WARN  [cdn-proxy] Deprecated config key 'ssl_verify' used, migrate to 'tls.verify_certificates' before v3.0",config_error
2026-03-17T00:05:50.918Z DEBUG [inventory-service] TLS handshake completed peer=k8s-worker-3c:443 protocol=TLSv1.3 cipher=TLS_AES_256_GCM_SHA384,normal
2026-03-16T15:15:32.467Z INFO  [cdn-proxy] Scheduled job cron.cleanup completed in 244ms removed=31 records,normal
"2026-03-12T03:03:40.015Z ERROR [scheduler] ImagePullBackOff: failed to pull image registry.internal/scheduler:v2.17.83 error=""manifest unknown""",deployment_issue
2026-03-12T17:01:28.893Z INFO  [worker-pool] Successfully processed request request_id=3b88907a7c11 duration=143ms,normal
"2026-03-11T11:36:53.084Z ERROR [order-service] Response validation failed: expected 200, got 401 body=""{\""error\"":\""service degraded\""}"" request_id=fbd733b35545",error_rate
2026-03-17T08:38:22.237Z INFO  [payment-service] Health check passed endpoint=/healthz status=ok uptime=34521s,normal
2026-03-11T13:54:46.821Z ERROR [billing-service] Node scheduling failed: 0/5 nodes available: insufficient cpu pod=worker-pool-6e5f4g-vw8xy,deployment_issue
"2026-03-12T14:51:05.795Z FATAL [analytics-service] Environment variable DATABASE_URL is not set, cannot start service",config_error
2026-03-13T06:38:50.297Z FATAL [payment-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=64,error_rate
"2026-03-15T14:31:17.878Z ERROR [order-service] Traceback (most recent call last):\n  File ""/app/order-service/views.py"", line 262, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
2026-03-15T10:13:02.694Z INFO  [billing-service] Successfully processed request request_id=58d02bb34a3f duration=59ms,normal
2026-03-10T16:32:30.853Z ERROR [analytics-service] Schema migration version mismatch: expected=42 got=39 database=mongodb-analytics,config_error
2026-03-11T11:06:07.114Z ERROR [cache-manager] Too many open files: ulimit=1137 current=1121 host=k8s-worker-3c,resource_exhaustion
2026-03-13T12:00:35.599Z ERROR [search-service] Evicted pod=worker-pool-6e5f4g-vw8xy namespace=kube-system reason=The node was low on resource: memory,resource_exhaustion
"2026-03-16T21:13:50.447Z ERROR [user-service] ImagePullBackOff: failed to pull image registry.internal/user-service:v3.8.28 error=""manifest unknown""",deployment_issue
2026-03-16T14:45:14.315Z INFO  [payment-service] Message consumed topic=orders partition=2 offset=815211 lag=0,normal
2026-03-15T01:18:58.489Z ERROR [order-service] DNS resolution failed for cloudflare-dns.internal: NXDOMAIN query_time=4375ms,dependency_failure
2026-03-16T10:09:55.011Z INFO  [analytics-service] Message consumed topic=orders partition=10 offset=540246 lag=0,normal
2026-03-15T13:40:42.425Z INFO  [user-service] Scheduled job cron.cleanup completed in 303ms removed=32 records,normal
2026-03-13T05:30:55.678Z INFO  [worker-pool] Message consumed topic=orders partition=7 offset=146007 lag=0,normal
"2026-03-13T16:08:27.118Z ERROR [worker-pool] Helm release failed: upgrade ""worker-pool"" failed: timed out waiting for the condition namespace=staging",deployment_issue
2026-03-09T18:29:28.690Z ERROR [event-bus] CrashLoopBackOff pod=order-service-3c2d1e-jk5gh namespace=staging restart_count=17 back_off=5m,deployment_issue
"2026-03-15T13:16:22.714Z ERROR [billing-service] TLS handshake failed: twilio-sms:443 error=""certificate has expired"" not_after=2025-12-01T00:00:00Z",dependency_failure
2026-03-13T01:00:17.588Z ERROR [inventory-service] DNS resolution failed for sendgrid-email.internal: NXDOMAIN query_time=2672ms,dependency_failure
2026-03-16T11:39:35.827Z FATAL [search-service] Port conflict: bind 0.0.0.0:8080 failed: address already in use host=k8s-worker-2b,config_error
2026-03-14T14:47:51.323Z FATAL [auth-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=88,error_rate
"2026-03-15T14:47:50.352Z ERROR [billing-service] Database connection lost: elasticsearch-cluster error=""server closed the connection unexpectedly"" retry_in=5s",dependency_failure
2026-03-16T22:46:57.851Z DEBUG [search-service] DNS resolution host=prod-node-03 resolved_in=4ms ttl=249s,normal
"2026-03-11T12:34:21.638Z WARN  [scheduler] Canary deployment scheduler-canary error rate 12.5% exceeds threshold 5%, initiating rollback",deployment_issue
"2026-03-14T20:59:09.346Z ERROR [api-gateway] Database connection lost: mysql-orders error=""server closed the connection unexpectedly"" retry_in=5s",dependency_failure
"2026-03-16T09:42:06.637Z ERROR [notification-service] Traceback (most recent call last):\n  File ""/app/notification-service/views.py"", line 248, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
2026-03-14T12:01:54.434Z INFO  [inventory-service] Metrics exported datapoints=138 target=prometheus,normal
2026-03-10T22:14:05.618Z INFO  [auth-service] Rate limiter token_bucket refilled bucket=auth-service tokens=100 interval=60s,normal
2026-03-17T09:24:01.907Z ERROR [notification-service] Unhandled exception in request handler: NullPointerException at com.notification-service.handler.process(Handler.java:142) request_id=04f7cb03e501,error_rate
"2026-03-10T14:51:16.988Z ERROR [inventory-service] Database connection lost: postgres-replica-1 error=""server closed the connection unexpectedly"" retry_in=5s",dependency_failure
2026-03-11T23:55:51.218Z INFO  [cache-manager] Metrics exported datapoints=338 target=prometheus,normal
"2026-03-13T20:01:54.833Z WARN  [api-gateway] Consul health check failing for cloudflare-dns: status=critical output=""TCP connection timeout""",dependency_failure
2026-03-14T10:14:13.302Z INFO  [payment-service] Metrics exported datapoints=258 target=prometheus,normal
2026-03-15T17:04:59.266Z INFO  [scheduler] Successfully processed request request_id=6abccb41afc3 duration=42ms,normal
2026-03-16T15:00:30.118Z INFO  [event-bus] Metrics exported datapoints=418 target=prometheus,normal
"2026-03-09T23:10:30.077Z ERROR [api-gateway] Invalid configuration: max_connections must be > 0, got -1 source=/etc/api-gateway/config.yaml",config_error
2026-03-13T23:27:24.786Z INFO  [cdn-proxy] Rate limiter token_bucket refilled bucket=cdn-proxy tokens=100 interval=60s,normal
2026-03-17T12:07:40.873Z FATAL [analytics-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=105,error_rate
2026-03-10T11:45:48.701Z ERROR [api-gateway] Connection refused to redis-cache-01 host=10.0.23.211:5432 errno=ECONNREFUSED,dependency_failure
2026-03-17T13:03:34.778Z ERROR [inventory-service] 500 errors spiking: count=295 window=5m baseline=10,error_rate
2026-03-17T05:28:13.593Z ERROR [order-service] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
"2026-03-12T01:41:48.497Z ERROR [cache-manager] GET /api/v1/notifications failed status=404 error=""Internal Server Error"" request_id=9923cf2f0456",error_rate
2026-03-13T03:26:23.185Z ERROR [auth-service] Liveness probe failed: HTTP probe failed with statuscode 503 pod=auth-service-5d4e3f-qr7ws consecutive_failures=3,deployment_issue
2026-03-17T06:26:57.717Z ERROR [auth-service] CrashLoopBackOff pod=payment-service-9a8b7c-lm2np namespace=monitoring restart_count=25 back_off=5m,deployment_issue
2026-03-15T04:57:12.614Z INFO  [api-gateway] Graceful shutdown initiated pid=38844 signal=SIGTERM,normal
2026-03-12T07:24:05.685Z INFO  [cdn-proxy] Health check passed endpoint=/healthz status=ok uptime=34521s,normal
"2026-03-10T21:45:54.643Z ERROR [analytics-service] Response validation failed: expected 200, got 400 body=""{\""error\"":\""service degraded\""}"" request_id=d3cb9071b47b",error_rate
2026-03-17T13:10:27.195Z INFO  [billing-service] GET /healthz completed status=301 latency=117ms request_id=795f41c8a7a2,normal
"2026-03-15T03:41:04.650Z ERROR [payment-service] Traceback (most recent call last):\n  File ""/app/payment-service/views.py"", line 121, in handle_request\n    result = process(data)\nValueError: invalid literal for int() with base 10: 'abc'",error_rate
"2026-03-16T02:30:12.424Z ERROR [api-gateway] PUT /metrics failed status=500 error=""Internal Server Error"" request_id=6926b57b52fd",error_rate
2026-03-09T18:51:48.413Z INFO  [scheduler] Worker thread started thread_id=11 pool_size=16,normal
2026-03-11T17:36:17.032Z ERROR [billing-service] Feature flag parsing error: invalid JSON in flag 'enable_new_checkout' value='tru' expected boolean,config_error
"2026-03-09T17:40:39.070Z ERROR [analytics-service] gRPC call failed code=UNAVAILABLE desc=""transport is closing"" method=/analytics-service.Service/Process",error_rate
2026-03-12T23:15:27.796Z ERROR [billing-service] HTTP 503 Service Unavailable upstream=sendgrid-email retries=3/3 request_id=01438b33f87b,error_rate
2026-03-13T02:28:22.186Z ERROR [order-service] DNS resolution failed for sendgrid-email.internal: NXDOMAIN query_time=4072ms,dependency_failure
"2026-03-12T13:14:02.321Z WARN  [order-service] Retry attempt 3/5 for PATCH /api/v1/users last_error=""connection reset by peer""",error_rate
2026-03-12T14:29:52.370Z INFO  [search-service] Cache hit ratio=0.96 keys=4668 host=prod-node-02,normal
2026-03-17T06:48:51.985Z ERROR [inventory-service] Connection refused to redis-cache-02 host=10.0.11.194:5432 errno=ECONNREFUSED,dependency_failure
2026-03-11T12:52:34.894Z INFO  [inventory-service] Health check passed endpoint=/healthz status=ok uptime=34521s,normal
2026-03-12T20:02:47.657Z ERROR [analytics-service] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
2026-03-15T16:05:57.113Z INFO  [analytics-service] Session created user_id=a534d6ccf75b ip=10.39.58.22 ttl=3600s,normal
"2026-03-12T10:41:07.836Z WARN  [scheduler] TLS certificate path /etc/ssl/scheduler/tls.crt does not exist, disabling TLS",config_error
2026-03-15T11:56:05.078Z DEBUG [inventory-service] Connection pool stats: active=5 idle=15 total=20 host=prod-node-01,normal
"2026-03-11T03:16:28.415Z ERROR [event-bus] Invalid configuration: max_connections must be > 0, got -1 source=/etc/event-bus/config.yaml",config_error
2026-03-14T05:26:37.926Z FATAL [payment-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=349,error_rate
2026-03-10T02:30:44.018Z ERROR [order-service] Helm values override conflict: both 'replicas' and 'autoscaling.enabled' are set,config_error
2026-03-16T18:00:26.837Z FATAL [inventory-service] Port conflict: bind 0.0.0.0:8080 failed: address already in use host=staging-node-01,config_error
2026-03-10T09:16:10.743Z ERROR [api-gateway] Circuit breaker OPEN for /api/v1/payments failures=23/25 window=30s,error_rate
2026-03-13T01:51:19.023Z INFO  [cache-manager] Scheduled job cron.cleanup completed in 333ms removed=44 records,normal
"2026-03-15T18:12:26.211Z ERROR [cache-manager] gRPC connection to sendgrid-email failed: code=UNAVAILABLE desc=""dns resolution failed for sendgrid-email.svc.cluster.local""",dependency_failure
2026-03-15T22:46:53.198Z ERROR [event-bus] CrashLoopBackOff pod=order-service-3c2d1e-jk5gh namespace=monitoring restart_count=31 back_off=5m,deployment_issue
"2026-03-15T19:45:54.144Z ERROR [analytics-service] ConfigMap analytics-service-config not found in namespace production, using defaults",config_error
"2026-03-16T02:13:40.011Z ERROR [order-service] Response validation failed: expected 200, got 502 body=""{\""error\"":\""service degraded\""}"" request_id=12c2da415ba1",error_rate
"2026-03-09T21:45:14.521Z ERROR [user-service] MongoDB replica set election in progress: postgres-primary error=""not primary"" retrying in 9s",dependency_failure
2026-03-12T02:06:42.266Z ERROR [notification-service] OOMKilled container=notification-service pod=worker-pool-6e5f4g-vw8xy namespace=staging memory_limit=512Mi usage=511Mi,resource_exhaustion
2026-03-14T20:12:32.661Z ERROR [analytics-service] YAML parse error in /etc/analytics-service/config.yaml: line 47: mapping values are not allowed here,config_error
2026-03-13T23:17:22.003Z ERROR [cdn-proxy] S3 GetObject failed: bucket=prod-assets key=config/cdn-proxy.yaml error=NoSuchBucket request_id=c931dab857b8,dependency_failure
2026-03-17T11:16:29.602Z INFO  [search-service] Metrics exported datapoints=114 target=prometheus,normal
2026-03-10T23:45:02.915Z ERROR [payment-service] Circuit breaker OPEN for /api/v1/orders failures=23/25 window=30s,error_rate
2026-03-12T05:09:46.820Z FATAL [auth-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=60,error_rate
2026-03-10T23:18:46.279Z FATAL [order-service] Port conflict: bind 0.0.0.0:8080 failed: address already in use host=k8s-worker-1a,config_error
"2026-03-10T22:45:29.369Z ERROR [api-gateway] Vault sealed: unable to retrieve secret secret/api-gateway/db-creds error=""Vault is sealed""",dependency_failure
2026-03-11T13:49:50.302Z ERROR [payment-service] S3 GetObject failed: bucket=prod-assets key=config/payment-service.yaml error=NoSuchBucket request_id=be9f66768b5d,dependency_failure
